Location,Household Type,TimeFrame,DataFormat,Data,Fips
Manhattan,Families without Children,2015,Dollars,102335.9157,36061
Manhattan,Families with Children,2015,Dollars,97165.92003,36061
Manhattan,Families,2015,Dollars,99433.12124,36061
Manhattan,All Households,2015,Dollars,81553.41788,36061
Manhattan,Families without Children,2014,Dollars,93597.48923,36061
Manhattan,Families with Children,2014,Dollars,107308.4453,36061
Manhattan,Families,2014,Dollars,97780.82257,36061
Manhattan,All Households,2014,Dollars,82249.52196,36061
Manhattan,Families without Children,2013,Dollars,96348.82336,36061
Manhattan,Families with Children,2013,Dollars,99653.2292,36061
Manhattan,Families,2013,Dollars,97007.28613,36061
Manhattan,All Households,2013,Dollars,79356.30657,36061
Manhattan,Families without Children,2012,Dollars,92863.30667,36061
Manhattan,Families with Children,2012,Dollars,84206.59556,36061
Manhattan,Families,2012,Dollars,90131.31111,36061
Manhattan,All Households,2012,Dollars,74852.66222,36061
Manhattan,Families without Children,2011,Dollars,87279.64902,36061
Manhattan,Families with Children,2011,Dollars,81542.72315,36061
Manhattan,Families,2011,Dollars,85805.54614,36061
Manhattan,All Households,2011,Dollars,75526.69743,36061
Manhattan,Families without Children,2010,Dollars,92452.84176,36061
Manhattan,Families with Children,2010,Dollars,90285.9691,36061
Manhattan,Families,2010,Dollars,91888.79682,36061
Manhattan,All Households,2010,Dollars,75008.57678,36061
Manhattan,Families without Children,2009,Dollars,100244.3195,36061
Manhattan,Families with Children,2009,Dollars,118016.9829,36061
Manhattan,Families,2009,Dollars,106397.0844,36061
Manhattan,All Households,2009,Dollars,82067.92195,36061
Manhattan,Families without Children,2008,Dollars,99032.71261,36061
Manhattan,Families with Children,2008,Dollars,85193.98672,36061
Manhattan,Families,2008,Dollars,94191.65824,36061
Manhattan,All Households,2008,Dollars,82152.70471,36061
Manhattan,Families without Children,2007,Dollars,94383.33388,36061
Manhattan,Families with Children,2007,Dollars,75395.17564,36061
Manhattan,Families,2007,Dollars,85536.94353,36061
Manhattan,All Households,2007,Dollars,79375.24787,36061
Manhattan,Families without Children,2006,Dollars,91851.00101,36061
Manhattan,Families,2006,Dollars,90079.08677,36061
Manhattan,Families with Children,2006,Dollars,86948.36597,36061
Manhattan,All Households,2006,Dollars,76287.64517,36061
Manhattan,Families without Children,2005,Dollars,94593.49251,36061
Manhattan,Families with Children,2005,Dollars,74357.76577,36061
Manhattan,Families,2005,Dollars,85928.3496,36061
Manhattan,All Households,2005,Dollars,73453.58836,36061
Battery Park/Tribeca,All Households,2005,Dollars,121990.4618,101
Battery Park/Tribeca,Families,2005,Dollars,175920.9045,101
Battery Park/Tribeca,Families without Children,2005,Dollars,164146.9136,101
Battery Park/Tribeca,Families with Children,2005,Dollars,229653.1893,101
Battery Park/Tribeca,All Households,2006,Dollars,120590.5858,101
Battery Park/Tribeca,Families,2006,Dollars,179098.0756,101
Battery Park/Tribeca,Families with Children,2006,Dollars,199472.5473,101
Battery Park/Tribeca,Families without Children,2006,Dollars,167721.7252,101
Battery Park/Tribeca,All Households,2007,Dollars,129749.1185,101
Battery Park/Tribeca,Families with Children,2007,Dollars,160425.3398,101
Battery Park/Tribeca,Families,2007,Dollars,174280.1937,101
Battery Park/Tribeca,Families without Children,2007,Dollars,192895.0657,101
Battery Park/Tribeca,All Households,2008,Dollars,125831.7041,101
Battery Park/Tribeca,Families,2008,Dollars,209787.7521,101
Battery Park/Tribeca,Families with Children,2008,Dollars,228598.4682,101
Battery Park/Tribeca,Families without Children,2008,Dollars,203917.0661,101
Battery Park/Tribeca,Families,2009,Dollars,185491.9464,101
Battery Park/Tribeca,All Households,2009,Dollars,121590.8661,101
Battery Park/Tribeca,Families with Children,2009,Dollars,186390.1951,101
Battery Park/Tribeca,Families without Children,2009,Dollars,183773.0901,101
Battery Park/Tribeca,All Households,2010,Dollars,119999.3867,101
Battery Park/Tribeca,Families,2010,Dollars,189978.5627,101
Battery Park/Tribeca,Families with Children,2010,Dollars,267781.5122,101
Battery Park/Tribeca,All Households,2011,Dollars,136549.3162,101
Battery Park/Tribeca,Families without Children,2010,Dollars,159903.2163,101
Battery Park/Tribeca,Families,2011,Dollars,214291.7247,101
Battery Park/Tribeca,Families with Children,2011,Dollars,239960.9365,101
Battery Park/Tribeca,Families without Children,2011,Dollars,191412.3722,101
Battery Park/Tribeca,All Households,2012,Dollars,114761.6622,101
Battery Park/Tribeca,Families,2012,Dollars,172183.7689,101
Battery Park/Tribeca,Families without Children,2012,Dollars,162042.2533,101
Battery Park/Tribeca,Families with Children,2012,Dollars,227970.4711,101
Battery Park/Tribeca,All Households,2013,Dollars,137750.6321,101
Battery Park/Tribeca,Families,2013,Dollars,198644.6978,101
Battery Park/Tribeca,Families with Children,2013,Dollars,220766.4088,101
Battery Park/Tribeca,Families without Children,2013,Dollars,184904.9212,101
Battery Park/Tribeca,All Households,2014,Dollars,129921.1456,101
Battery Park/Tribeca,Families with Children,2014,Dollars,227247.963,101
Battery Park/Tribeca,Families,2014,Dollars,180644.3325,101
Battery Park/Tribeca,Families without Children,2014,Dollars,171497.2093,101
Battery Park/Tribeca,All Households,2015,Dollars,131814.9269,101
Battery Park/Tribeca,Families,2015,Dollars,216229.0542,101
Battery Park/Tribeca,Families with Children,2015,Dollars,#VALUE!,101
Battery Park/Tribeca,Families without Children,2015,Dollars,168982.5666,101
Battery Park/Tribeca,Families,2016,Dollars,240433.7097,101
Battery Park/Tribeca,All Households,2016,Dollars,146178.7351,101
Battery Park/Tribeca,Families with Children,2016,Dollars,241540.6239,101
Battery Park/Tribeca,Families without Children,2016,Dollars,235978.3531,101
Battery Park/Tribeca,Families,2017,Dollars,195377.4266,101
Battery Park/Tribeca,All Households,2017,Dollars,151098.5236,101
Battery Park/Tribeca,All Households,2018,Dollars,150836.2034,101
Battery Park/Tribeca,Families without Children,2017,Dollars,178980.3823,101
Battery Park/Tribeca,Families with Children,2017,Dollars,244660.338,101
Battery Park/Tribeca,Families without Children,2019,Dollars,204568,101
Battery Park/Tribeca,Families with Children,2019,Dollars,250001,101
Battery Park/Tribeca,Families,2019,Dollars,230219,101
Battery Park/Tribeca,All Households,2019,Dollars,162092,101
Battery Park/Tribeca,Families without Children,2018,Dollars,201554.7647,101
Battery Park/Tribeca,Families with Children,2018,Dollars,254530.4935,101
Battery Park/Tribeca,Families,2018,Dollars,254530.4935,101
Greenwich Village,Families,2018,Dollars,254530.4935,102
Greenwich Village,Families with Children,2018,Dollars,254530.4935,102
Greenwich Village,Families without Children,2018,Dollars,201554.7647,102
Greenwich Village,All Households,2019,Dollars,162092,102
Greenwich Village,Families,2019,Dollars,230219,102
Greenwich Village,Families with Children,2019,Dollars,250001,102
Greenwich Village,Families without Children,2019,Dollars,204568,102
Greenwich Village,Families with Children,2017,Dollars,244660.338,102
Greenwich Village,Families without Children,2017,Dollars,178980.3823,102
Greenwich Village,All Households,2018,Dollars,150836.2034,102
Greenwich Village,All Households,2017,Dollars,151098.5236,102
Greenwich Village,Families,2017,Dollars,195377.4266,102
Greenwich Village,Families without Children,2016,Dollars,235978.3531,102
Greenwich Village,Families with Children,2016,Dollars,241540.6239,102
Greenwich Village,All Households,2016,Dollars,146178.7351,102
Greenwich Village,Families,2016,Dollars,240433.7097,102
Greenwich Village,Families without Children,2015,Dollars,168982.5666,102
Greenwich Village,Families with Children,2015,Dollars,#VALUE!,102
Greenwich Village,Families,2015,Dollars,216229.0542,102
Greenwich Village,All Households,2015,Dollars,131814.9269,102
Greenwich Village,Families without Children,2014,Dollars,171497.2093,102
Greenwich Village,Families,2014,Dollars,180644.3325,102
Greenwich Village,Families with Children,2014,Dollars,227247.963,102
Greenwich Village,All Households,2014,Dollars,129921.1456,102
Greenwich Village,Families without Children,2013,Dollars,184904.9212,102
Greenwich Village,Families with Children,2013,Dollars,220766.4088,102
Greenwich Village,Families,2013,Dollars,198644.6978,102
Greenwich Village,All Households,2013,Dollars,137750.6321,102
Greenwich Village,Families with Children,2012,Dollars,227970.4711,102
Greenwich Village,Families without Children,2012,Dollars,162042.2533,102
Greenwich Village,Families,2012,Dollars,172183.7689,102
Greenwich Village,All Households,2012,Dollars,114761.6622,102
Greenwich Village,Families without Children,2011,Dollars,191412.3722,102
Greenwich Village,Families with Children,2011,Dollars,239960.9365,102
Greenwich Village,Families,2011,Dollars,214291.7247,102
Greenwich Village,Families without Children,2010,Dollars,159903.2163,102
Greenwich Village,All Households,2011,Dollars,136549.3162,102
Greenwich Village,Families with Children,2010,Dollars,267781.5122,102
Greenwich Village,Families,2010,Dollars,189978.5627,102
Greenwich Village,All Households,2010,Dollars,119999.3867,102
Greenwich Village,Families without Children,2009,Dollars,183773.0901,102
Greenwich Village,Families with Children,2009,Dollars,186390.1951,102
Greenwich Village,All Households,2009,Dollars,121590.8661,102
Greenwich Village,Families,2009,Dollars,185491.9464,102
Greenwich Village,Families without Children,2008,Dollars,203917.0661,102
Greenwich Village,Families with Children,2008,Dollars,228598.4682,102
Greenwich Village,Families,2008,Dollars,209787.7521,102
Greenwich Village,All Households,2008,Dollars,125831.7041,102
Greenwich Village,Families without Children,2007,Dollars,192895.0657,102
Greenwich Village,Families,2007,Dollars,174280.1937,102
Greenwich Village,Families with Children,2007,Dollars,160425.3398,102
Greenwich Village,All Households,2007,Dollars,129749.1185,102
Greenwich Village,Families without Children,2006,Dollars,167721.7252,102
Greenwich Village,Families with Children,2006,Dollars,199472.5473,102
Greenwich Village,Families,2006,Dollars,179098.0756,102
Greenwich Village,All Households,2006,Dollars,120590.5858,102
Greenwich Village,Families with Children,2005,Dollars,229653.1893,102
Greenwich Village,Families without Children,2005,Dollars,164146.9136,102
Greenwich Village,Families,2005,Dollars,175920.9045,102
Greenwich Village,All Households,2005,Dollars,121990.4618,102
Lower East Side,All Households,2005,Dollars,42064.59045,103
Lower East Side,Families,2005,Dollars,42060.65354,103
Lower East Side,Families without Children,2005,Dollars,44384.74381,103
Lower East Side,Families with Children,2005,Dollars,38426.88393,103
Lower East Side,All Households,2006,Dollars,46902.34132,103
Lower East Side,Families,2006,Dollars,45284.23025,103
Lower East Side,Families with Children,2006,Dollars,39343.10601,103
Lower East Side,Families without Children,2006,Dollars,49467.42235,103
Lower East Side,All Households,2007,Dollars,39600.4826,103
Lower East Side,Families with Children,2007,Dollars,33243.49146,103
Lower East Side,Families,2007,Dollars,39339.67663,103
Lower East Side,Families without Children,2007,Dollars,45199.77676,103
Lower East Side,All Households,2008,Dollars,43492.11824,103
Lower East Side,Families,2008,Dollars,43221.91432,103
Lower East Side,Families with Children,2008,Dollars,41435.23554,103
Lower East Side,Families without Children,2008,Dollars,44219.40721,103
Lower East Side,Families,2009,Dollars,41594.17195,103
Lower East Side,All Households,2009,Dollars,49277.06536,103
Lower East Side,Families with Children,2009,Dollars,37648.80552,103
Lower East Side,Families without Children,2009,Dollars,49277.06536,103
Lower East Side,All Households,2010,Dollars,49722.91199,103
Lower East Side,Families,2010,Dollars,51351.59176,103
Lower East Side,Families with Children,2010,Dollars,48289.29775,103
Lower East Side,All Households,2011,Dollars,44612.68684,103
Lower East Side,Families without Children,2010,Dollars,53257.59363,103
Lower East Side,Families,2011,Dollars,42586.08018,103
Lower East Side,Families with Children,2011,Dollars,41743.08472,103
Lower East Side,Families without Children,2011,Dollars,43131.74887,103
Lower East Side,All Households,2012,Dollars,45543.67111,103
Lower East Side,Families,2012,Dollars,37684.58222,103
Lower East Side,Families without Children,2012,Dollars,34636.88444,103
Lower East Side,Families with Children,2012,Dollars,41462.96889,103
Lower East Side,All Households,2013,Dollars,44117.00584,103
Lower East Side,Families,2013,Dollars,39755.10219,103
Lower East Side,Families with Children,2013,Dollars,31887.62628,103
Lower East Side,Families without Children,2013,Dollars,43454.14599,103
Lower East Side,All Households,2014,Dollars,44715.18519,103
Lower East Side,Families with Children,2014,Dollars,52413.81568,103
Lower East Side,Families,2014,Dollars,46086.92937,103
Lower East Side,Families without Children,2014,Dollars,43221.29199,103
Lower East Side,All Households,2015,Dollars,45611.6423,103
Lower East Side,Families,2015,Dollars,36998.22012,103
Lower East Side,Families with Children,2015,Dollars,36484.56578,103
Lower East Side,Families without Children,2015,Dollars,37064.04557,103
Lower East Side,Families,2016,Dollars,45995.00424,103
Lower East Side,All Households,2016,Dollars,43900.4966,103
Lower East Side,Families with Children,2016,Dollars,48482.63158,103
Lower East Side,Families without Children,2016,Dollars,45160.82343,103
Lower East Side,Families,2017,Dollars,39319.741,103
Lower East Side,All Households,2017,Dollars,41283.59003,103
Lower East Side,All Households,2018,Dollars,49252.47161,103
Lower East Side,Families without Children,2017,Dollars,41145.92244,103
Lower East Side,Families with Children,2017,Dollars,37133.74654,103
Lower East Side,Families without Children,2019,Dollars,45183,103
Lower East Side,Families with Children,2019,Dollars,38510,103
Lower East Side,Families,2019,Dollars,42400,103
Lower East Side,All Households,2019,Dollars,41302,103
Lower East Side,Families without Children,2018,Dollars,39041.76717,103
Lower East Side,Families with Children,2018,Dollars,40603.56003,103
Lower East Side,Families,2018,Dollars,39199.57545,103
Chelsea/Clinton,Families,2018,Dollars,177684.9905,104
Chelsea/Clinton,Families with Children,2018,Dollars,195547.8691,104
Chelsea/Clinton,Families without Children,2018,Dollars,174936.0722,104
Chelsea/Clinton,All Households,2019,Dollars,120248,104
Chelsea/Clinton,Families,2019,Dollars,186093,104
Chelsea/Clinton,Families with Children,2019,Dollars,155955,104
Chelsea/Clinton,Families without Children,2019,Dollars,190740,104
Chelsea/Clinton,Families with Children,2017,Dollars,178565.2936,104
Chelsea/Clinton,Families without Children,2017,Dollars,148296.1537,104
Chelsea/Clinton,All Households,2018,Dollars,102911.3575,104
Chelsea/Clinton,All Households,2017,Dollars,106359.6856,104
Chelsea/Clinton,Families,2017,Dollars,155424.6233,104
Chelsea/Clinton,Families without Children,2016,Dollars,182240.2759,104
Chelsea/Clinton,Families with Children,2016,Dollars,175582.8099,104
Chelsea/Clinton,All Households,2016,Dollars,108187.8183,104
Chelsea/Clinton,Families,2016,Dollars,182075.1443,104
Chelsea/Clinton,Families without Children,2015,Dollars,174077.0249,104
Chelsea/Clinton,Families with Children,2015,Dollars,169562.0464,104
Chelsea/Clinton,Families,2015,Dollars,172740.0129,104
Chelsea/Clinton,All Households,2015,Dollars,110366.6208,104
Chelsea/Clinton,Families without Children,2014,Dollars,163030.0129,104
Chelsea/Clinton,Families,2014,Dollars,152141.4556,104
Chelsea/Clinton,Families with Children,2014,Dollars,146266.4126,104
Chelsea/Clinton,All Households,2014,Dollars,106540.9604,104
Chelsea/Clinton,Families without Children,2013,Dollars,156365.6715,104
Chelsea/Clinton,Families with Children,2013,Dollars,174780.6438,104
Chelsea/Clinton,Families,2013,Dollars,167422.1299,104
Chelsea/Clinton,All Households,2013,Dollars,110625.0438,104
Chelsea/Clinton,Families with Children,2012,Dollars,162015.48,104
Chelsea/Clinton,Families without Children,2012,Dollars,139149.9378,104
Chelsea/Clinton,Families,2012,Dollars,146911.9733,104
Chelsea/Clinton,All Households,2012,Dollars,96245.67111,104
Chelsea/Clinton,Families without Children,2011,Dollars,142066.3797,104
Chelsea/Clinton,Families with Children,2011,Dollars,136247.4327,104
Chelsea/Clinton,Families,2011,Dollars,141901.1982,104
Chelsea/Clinton,Families without Children,2010,Dollars,125086.367,104
Chelsea/Clinton,All Households,2011,Dollars,94586.36914,104
Chelsea/Clinton,Families with Children,2010,Dollars,122260.2669,104
Chelsea/Clinton,Families,2010,Dollars,124742.0646,104
Chelsea/Clinton,All Households,2010,Dollars,91475.16386,104
Chelsea/Clinton,Families without Children,2009,Dollars,134388.5216,104
Chelsea/Clinton,Families with Children,2009,Dollars,210940.3363,104
Chelsea/Clinton,All Households,2009,Dollars,97669.02126,104
Chelsea/Clinton,Families,2009,Dollars,149421.0485,104
Chelsea/Clinton,Families without Children,2008,Dollars,145718.4746,104
Chelsea/Clinton,Families with Children,2008,Dollars,100621.7973,104
Chelsea/Clinton,Families,2008,Dollars,135357.8802,104
Chelsea/Clinton,All Households,2008,Dollars,94432.10402,104
Chelsea/Clinton,Families without Children,2007,Dollars,155596.1031,104
Chelsea/Clinton,Families with Children,2007,Dollars,136219.826,104
Chelsea/Clinton,All Households,2007,Dollars,98127.32108,104
Chelsea/Clinton,Families,2007,Dollars,149005.499,104
Chelsea/Clinton,Families without Children,2006,Dollars,144765.6482,104
Chelsea/Clinton,Families with Children,2006,Dollars,91437.89332,104
Chelsea/Clinton,Families,2006,Dollars,129396.7708,104
Chelsea/Clinton,All Households,2006,Dollars,92419.18298,104
Chelsea/Clinton,Families without Children,2005,Dollars,116629.7002,104
Chelsea/Clinton,Families,2005,Dollars,127076.9519,104
Chelsea/Clinton,Families with Children,2005,Dollars,167863.3583,104
Chelsea/Clinton,All Households,2005,Dollars,92627.66121,104
Midtown Business District,All Households,2005,Dollars,92627.66121,105
Midtown Business District,Families with Children,2005,Dollars,167863.3583,105
Midtown Business District,Families,2005,Dollars,127076.9519,105
Midtown Business District,Families without Children,2005,Dollars,116629.7002,105
Midtown Business District,All Households,2006,Dollars,92419.18298,105
Midtown Business District,Families,2006,Dollars,129396.7708,105
Midtown Business District,Families with Children,2006,Dollars,91437.89332,105
Midtown Business District,Families without Children,2006,Dollars,144765.6482,105
Midtown Business District,Families,2007,Dollars,149005.499,105
Midtown Business District,All Households,2007,Dollars,98127.32108,105
Midtown Business District,Families with Children,2007,Dollars,136219.826,105
Midtown Business District,Families without Children,2007,Dollars,155596.1031,105
Midtown Business District,All Households,2008,Dollars,94432.10402,105
Midtown Business District,Families,2008,Dollars,135357.8802,105
Midtown Business District,Families with Children,2008,Dollars,100621.7973,105
Midtown Business District,Families without Children,2008,Dollars,145718.4746,105
Midtown Business District,Families,2009,Dollars,149421.0485,105
Midtown Business District,All Households,2009,Dollars,97669.02126,105
Midtown Business District,Families with Children,2009,Dollars,210940.3363,105
Midtown Business District,Families without Children,2009,Dollars,134388.5216,105
Midtown Business District,All Households,2010,Dollars,91475.16386,105
Midtown Business District,Families,2010,Dollars,124742.0646,105
Midtown Business District,Families with Children,2010,Dollars,122260.2669,105
Midtown Business District,All Households,2011,Dollars,94586.36914,105
Midtown Business District,Families without Children,2010,Dollars,125086.367,105
Midtown Business District,Families,2011,Dollars,141901.1982,105
Midtown Business District,Families with Children,2011,Dollars,136247.4327,105
Midtown Business District,Families without Children,2011,Dollars,142066.3797,105
Midtown Business District,All Households,2012,Dollars,96245.67111,105
Midtown Business District,Families,2012,Dollars,146911.9733,105
Midtown Business District,Families without Children,2012,Dollars,139149.9378,105
Midtown Business District,Families with Children,2012,Dollars,162015.48,105
Midtown Business District,All Households,2013,Dollars,110625.0438,105
Midtown Business District,Families,2013,Dollars,167422.1299,105
Midtown Business District,Families with Children,2013,Dollars,174780.6438,105
Midtown Business District,Families without Children,2013,Dollars,156365.6715,105
Midtown Business District,All Households,2014,Dollars,106540.9604,105
Midtown Business District,Families with Children,2014,Dollars,146266.4126,105
Midtown Business District,Families,2014,Dollars,152141.4556,105
Midtown Business District,Families without Children,2014,Dollars,163030.0129,105
Midtown Business District,All Households,2015,Dollars,110366.6208,105
Midtown Business District,Families,2015,Dollars,172740.0129,105
Midtown Business District,Families with Children,2015,Dollars,169562.0464,105
Midtown Business District,Families without Children,2015,Dollars,174077.0249,105
Midtown Business District,Families,2016,Dollars,182075.1443,105
Midtown Business District,All Households,2016,Dollars,108187.8183,105
Midtown Business District,Families with Children,2016,Dollars,175582.8099,105
Midtown Business District,Families without Children,2016,Dollars,182240.2759,105
Midtown Business District,Families,2017,Dollars,155424.6233,105
Midtown Business District,All Households,2017,Dollars,106359.6856,105
Midtown Business District,All Households,2018,Dollars,102911.3575,105
Midtown Business District,Families without Children,2017,Dollars,148296.1537,105
Midtown Business District,Families with Children,2017,Dollars,178565.2936,105
Midtown Business District,Families without Children,2019,Dollars,190740,105
Midtown Business District,Families with Children,2019,Dollars,155955,105
Midtown Business District,Families,2019,Dollars,186093,105
Midtown Business District,All Households,2019,Dollars,120248,105
Midtown Business District,Families without Children,2018,Dollars,174936.0722,105
Midtown Business District,Families with Children,2018,Dollars,195547.8691,105
Midtown Business District,Families,2018,Dollars,177684.9905,105
Murray Hill/Stuyvesant,Families,2018,Dollars,249876.6766,106
Murray Hill/Stuyvesant,Families with Children,2018,Dollars,229061.2561,106
Murray Hill/Stuyvesant,Families without Children,2018,Dollars,249878.7128,106
Murray Hill/Stuyvesant,All Households,2019,Dollars,154501,106
Murray Hill/Stuyvesant,Families,2019,Dollars,219465,106
Murray Hill/Stuyvesant,Families with Children,2019,Dollars,247577,106
Murray Hill/Stuyvesant,Families without Children,2019,Dollars,217813,106
Murray Hill/Stuyvesant,Families with Children,2017,Dollars,260734.072,106
Murray Hill/Stuyvesant,Families without Children,2017,Dollars,177668.3684,106
Murray Hill/Stuyvesant,All Households,2018,Dollars,137342.0687,106
Murray Hill/Stuyvesant,All Households,2017,Dollars,117208.3089,106
Murray Hill/Stuyvesant,Families,2017,Dollars,198785.7424,106
Murray Hill/Stuyvesant,Families without Children,2016,Dollars,199880.59,106
Murray Hill/Stuyvesant,Families with Children,2016,Dollars,231143.7267,106
Murray Hill/Stuyvesant,All Households,2016,Dollars,117617.3642,106
Murray Hill/Stuyvesant,Families,2016,Dollars,201779.0705,106
Murray Hill/Stuyvesant,Families without Children,2015,Dollars,184410.5417,106
Murray Hill/Stuyvesant,Families with Children,2015,Dollars,#VALUE!,106
Murray Hill/Stuyvesant,Families,2015,Dollars,205127.2141,106
Murray Hill/Stuyvesant,All Households,2015,Dollars,115304.6088,106
Murray Hill/Stuyvesant,Families without Children,2014,Dollars,178801.2877,106
Murray Hill/Stuyvesant,Families,2014,Dollars,186185.3575,106
Murray Hill/Stuyvesant,Families with Children,2014,Dollars,217990.5814,106
Murray Hill/Stuyvesant,All Households,2014,Dollars,114176.8949,106
Murray Hill/Stuyvesant,Families without Children,2013,Dollars,158468.5752,106
Murray Hill/Stuyvesant,Families with Children,2013,Dollars,223309.0204,106
Murray Hill/Stuyvesant,Families,2013,Dollars,167009.9037,106
Murray Hill/Stuyvesant,All Households,2013,Dollars,118805.8117,106
Murray Hill/Stuyvesant,Families with Children,2012,Dollars,158325.2222,106
Murray Hill/Stuyvesant,Families without Children,2012,Dollars,163539.3289,106
Murray Hill/Stuyvesant,Families,2012,Dollars,162231.8978,106
Murray Hill/Stuyvesant,All Households,2012,Dollars,103110.8,106
Murray Hill/Stuyvesant,Families without Children,2011,Dollars,164406.8986,106
Murray Hill/Stuyvesant,Families with Children,2011,Dollars,254970.8124,106
Murray Hill/Stuyvesant,Families,2011,Dollars,190780.1256,106
Murray Hill/Stuyvesant,Families without Children,2010,Dollars,166241.6714,106
Murray Hill/Stuyvesant,All Households,2011,Dollars,115681.761,106
Murray Hill/Stuyvesant,Families with Children,2010,Dollars,176999.6536,106
Murray Hill/Stuyvesant,Families,2010,Dollars,168620.0609,106
Murray Hill/Stuyvesant,All Households,2010,Dollars,107074.5318,106
Murray Hill/Stuyvesant,Families without Children,2009,Dollars,177290.6488,106
Murray Hill/Stuyvesant,Families with Children,2009,Dollars,166324.1307,106
Murray Hill/Stuyvesant,All Households,2009,Dollars,117896.3404,106
Murray Hill/Stuyvesant,Families,2009,Dollars,176318.3423,106
Murray Hill/Stuyvesant,Families without Children,2008,Dollars,181103.2849,106
Murray Hill/Stuyvesant,Families with Children,2008,Dollars,204331.2994,106
Murray Hill/Stuyvesant,Families,2008,Dollars,187029.9162,106
Murray Hill/Stuyvesant,All Households,2008,Dollars,128356.3848,106
Murray Hill/Stuyvesant,Families without Children,2007,Dollars,165866.4199,106
Murray Hill/Stuyvesant,Families with Children,2007,Dollars,144030.4087,106
